task_id,template,workflow,title,category,owner_role,mandatory,has_citations,has_duration,has_priority,has_vendor_type,has_notes,suggested_priority,research_notes,citation_url_1,citation_title_1,citation_url_2,citation_title_2,estimated_duration,vendor_type
submit_mortgage_app,base,Financing,Submit formal mortgage application,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
order_appraisal,base,Financing,Order property appraisal,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
schedule_appraisal,base,Financing,Schedule appraisal inspection,financing,agent,No,No,No,No,No,No,normal,,,,,,,
review_appraisal,base,Financing,Review appraisal report,financing,agent,No,No,No,No,No,No,normal,,,,,,,
address_appraisal_issues,base,Financing,Address appraisal issues,financing,agent,No,No,No,No,No,No,normal,,,,,,,
provide_additional_docs,base,Financing,Provide additional documentation to lender,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
obtain_mortgage_commitment,base,Financing,Obtain mortgage commitment,financing,buyer,Yes,No,No,No,No,No,high,,,,,,,
review_loan_terms,base,Financing,Review loan terms and conditions,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
clear_loan_conditions,base,Financing,Clear loan conditions,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
schedule_loan_closing,base,Financing,Schedule loan closing with lender,financing,buyer,No,No,No,No,No,No,normal,,,,,,,
loan_commitment_track,base,Financing,Monitor Buyer Loan Commitment Status,financing,agent,Yes,No,No,No,No,Yes,high,,,,,,,
loan_commitment_deadline,base,Financing,Confirm Loan Commitment Received or Extension Granted,financing,agent,Yes,No,No,No,No,Yes,high,,,,,,,
appraisal_track,base,Financing,Monitor Property Appraisal Progress,financing,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
appraisal_value_check,base,Financing,Verify Appraisal Supports Sales Price,financing,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
order_title_insurance,base,Pre-Closing Preparation,Order title insurance,title_work,agent,No,No,No,No,No,No,normal,,,,,,,
review_title_commitment,base,Pre-Closing Preparation,Review title commitment,title_work,buyer_attorney,No,No,No,No,No,No,normal,,,,,,,
clear_title_issues,base,Pre-Closing Preparation,Clear title issues,title_work,seller_attorney,No,No,No,No,No,No,critical,,,,,,,
order_municipal_lien,base,Pre-Closing Preparation,Order municipal lien certificate,title_work,agent,No,No,No,No,No,No,critical,,,,,,,
schedule_closing_date,base,Pre-Closing Preparation,Schedule closing date and time,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
select_closing_attorney,base,Pre-Closing Preparation,Select closing attorney/location,pre_closing,buyer,No,No,No,No,No,No,critical,,,,,,,
order_homeowners_insurance,base,Pre-Closing Preparation,Order homeowner's insurance,pre_closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
coordinate_utility_transfers,base,Pre-Closing Preparation,Coordinate utility transfers,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
schedule_final_walkthrough,base,Pre-Closing Preparation,Schedule final walkthrough,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
prepare_closing_docs,base,Pre-Closing Preparation,Prepare closing documents package,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
municipal_lien,base,Pre-Closing Preparation,Request Municipal Lien Certificate,title_work,buyer_attorney,Yes,Yes,No,No,No,Yes,critical,,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleIX/Chapter60/Section23,"M.G.L. Chapter 60, Section 23 - Municipal Lien Certificates",,,,
smoke_co_inspection,base,Pre-Closing Preparation,Schedule Smoke & CO Detector Inspection,compliance,seller,Yes,Yes,Yes,No,Yes,Yes,critical,,https://www.mass.gov/doc/consumer-guide-to-smoke-detectors-when-selling-home/download,Consumer Guide to Smoke Detectors When Selling Your Home,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXX/Chapter148/Section26F,M.G.L. c.148 §26F - Smoke Detector Requirements,Schedule 2-3 weeks ahead; inspection takes 30-45 minutes,fire_dept_smoke_cert
smoke_co_compliance,base,Pre-Closing Preparation,Obtain Smoke & CO Certificate of Compliance,compliance,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
insurance_track,base,Pre-Closing Preparation,Confirm Buyer Obtained Homeowners Insurance,pre_closing,agent,Yes,No,No,No,No,Yes,critical,,,,,,,
clear_to_close_confirm,base,Pre-Closing Preparation,Confirm Lender Clear to Close,pre_closing,agent,Yes,No,No,No,No,Yes,critical,,,,,,,
utilities_transfer,base,Pre-Closing Preparation,Coordinate Utility Account Transfers,pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
attorney_docs_review,base,Pre-Closing Preparation,Review Closing Documents with Attorney,pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
final_walkthrough_schedule,base,Pre-Closing Preparation,Schedule Final Walkthrough,pre_closing,agent,Yes,No,No,No,No,Yes,critical,,,,,,,
property_vacant_clean,base,Pre-Closing Preparation,Ensure Property Vacant and Broom Clean,pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
keys_docs_ready,base,Pre-Closing Preparation,"Prepare Keys, Manuals, and Access Information",pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
water_final_reading,base,Pre-Closing Preparation,Order Final Water Reading (if applicable),property_specific,seller,No,Yes,No,No,No,Yes,normal,,https://www.bwsc.org/residential-customers/services/buying-or-selling-property,Buying or Selling Property | Boston Water and Sewer Commission,,,,
confirm_wire_instructions,base,Closing Week Activities,Confirm wire instructions,pre_closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
obtain_closing_funds,base,Closing Week Activities,Obtain cashier's check or wire funds,pre_closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
conduct_final_walkthrough,base,Closing Week Activities,Conduct final walkthrough,pre_closing,buyer,No,No,No,No,No,No,critical,,,,,,,
address_walkthrough_issues,base,Closing Week Activities,Address walkthrough issues,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
confirm_closing_attendance,base,Closing Week Activities,Confirm closing attendance,pre_closing,agent,No,No,No,No,No,No,critical,,,,,,,
review_closing_disclosure,base,Closing Week Activities,Review HUD-1/Closing Disclosure,pre_closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
review_seller_statement,base,Closing Week Activities,Review seller's closing statement,pre_closing,seller,No,No,No,No,No,No,critical,,,,,,,
prepare_poa,base,Closing Week Activities,Prepare power of attorney,pre_closing,buyer,No,No,No,No,No,No,critical,,,,,,,
final_walkthrough_complete,base,Closing Week Activities,Complete Final Walkthrough Successfully,pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
final_loan_doc_review,base,Closing Day,Final loan document review,closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
sign_closing_docs,base,Closing Day,Sign closing documents,closing,buyer,Yes,No,No,No,No,No,critical,,,,,,,
seller_signs_transfer,base,Closing Day,Seller signs transfer documents,closing,seller,Yes,No,No,No,No,No,critical,,,,,,,
transfer_keys_access,base,Closing Day,Transfer keys and access,closing,seller,Yes,No,No,No,No,No,critical,,,,,,,
record_deed_mortgage,base,Closing Day,Record deed and mortgage,closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
disburse_funds,base,Closing Day,Disburse funds,closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
provide_buyer_closing_package,base,Closing Day,Provide closing package to buyer,closing,agent,No,No,No,No,No,No,critical,,,,,,,
provide_seller_closing_package,base,Closing Day,Provide closing package to seller,closing,agent,No,No,No,No,No,No,critical,,,,,,,
update_mls_closed,base,Closing Day,Update MLS status to closed,closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
confirm_deed_recording,base,Post-Closing,Confirm deed recording,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
distribute_recorded_docs,base,Post-Closing,Distribute recorded documents,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
file_transaction_docs,base,Post-Closing,File transaction documents,post_closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
process_commissions,base,Post-Closing,Process commission disbursements,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
send_buyer_gift,base,Post-Closing,Send closing gift to buyer,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
send_seller_gift,base,Post-Closing,Send closing gift to seller,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
request_testimonials,base,Post-Closing,Request client testimonials,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
add_to_crm,base,Post-Closing,Add clients to CRM for follow-up,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
schedule_30day_followup,base,Post-Closing,Schedule 30-day follow-up call,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
submit_to_broker,base,Post-Closing,Submit transaction to broker,post_closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
confirm_title_policy,base,Post-Closing,Confirm title policy delivery,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
provide_tax_info,base,Post-Closing,Provide tax information to buyer,post_closing,agent,No,No,No,No,No,No,critical,,,,,,,
update_transaction_status,base,Post-Closing,Update transaction status in system,post_closing,agent,Yes,No,No,No,No,No,critical,,,,,,,
title5_septic_assessment,sfh_septic,,Assess Title 5 Septic Inspection Requirement,property_specific,agent,Yes,Yes,No,No,No,Yes,normal,,https://www.mass.gov/guides/buying-or-selling-property-with-a-septic-system,Buying or Selling Property with a Septic System | Mass.gov,https://www.mass.gov/regulations/310-CMR-15000-septic-systems-title-5,310 CMR 15.000: Septic Systems (Title 5),,
title5_septic_inspection,sfh_septic,,Schedule and Complete Title 5 Septic Inspection,property_specific,seller,Yes,Yes,Yes,No,Yes,Yes,normal,,https://www.mass.gov/regulations/310-CMR-15000-septic-systems-title-5,310 CMR 15.000: Septic Systems (Title 5),,,Find inspector 1-2 weeks; inspection 2-4 hours; report 1-2 weeks,septic_inspector
title5_report_review,sfh_septic,,Review Title 5 Inspection Report,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
title5_repairs,sfh_septic,,Complete Title 5 Septic Repairs or Upgrades,property_specific,seller,No,No,Yes,No,Yes,Yes,normal,,,,,,Minor repairs: 1-2 weeks. Major upgrades: 4-8 weeks. Permitting adds time.,septic_contractor
title5_reinspection,sfh_septic,,Schedule Title 5 Re-inspection (Post-Repair),property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
title5_certificate,sfh_septic,,Obtain Certificate of Compliance from Board of Health,compliance,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
well_water_comprehensive_test,sfh_septic,,Conduct Comprehensive Well Water Testing,property_specific,buyer,Yes,No,No,No,Yes,Yes,normal,,,,,,,well_inspector
well_flow_test,sfh_septic,,Perform Well Flow Rate and Recovery Test,property_specific,buyer,Yes,No,No,No,Yes,Yes,normal,,,,,,,well_inspector
septic_pumping_history,sfh_septic,,Provide Septic Pumping and Maintenance Records,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
septic_location_diagram,sfh_septic,,Provide Septic System Location Diagram,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
well_septic_distance_verification,sfh_septic,,Verify Well and Septic System Separation Distance,property_specific,vendor,Yes,No,No,No,No,Yes,normal,,,,,,,
septic_upgrade_reserve_area,sfh_septic,,Identify Septic Reserve Area,property_specific,vendor,No,No,No,No,No,Yes,normal,,,,,,,
well_head_protection,sfh_septic,,Inspect Well Head Protection and Grading,property_specific,vendor,Yes,No,No,No,No,Yes,normal,,,,,,,
septic_distribution_box_inspection,sfh_septic,,Inspect Septic Distribution Box,property_specific,vendor,No,No,No,No,No,Yes,normal,,,,,,,
water_treatment_system_transfer,sfh_septic,,Transfer Water Treatment System Information,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
septic_dos_donts_list,sfh_septic,,Provide Septic System Do's and Don'ts,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
well_pump_warranty_transfer,sfh_septic,,Transfer Well Pump Warranty and Service Info,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
winter_water_system_prep,sfh_septic,,Document Winter Water System Procedures,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
private_road_maintenance,sfh_septic,,Disclose Private Road Maintenance Agreement,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
propane_tank_status,sfh_septic,,Document Propane Tank Ownership and Level,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
septic_inspection_escrow,sfh_septic,,Establish Septic Repair Escrow if Needed,property_specific,buyer_attorney,No,No,No,No,No,Yes,normal,,,,,,,
well_agreement_neighboring,sfh_septic,,Disclose Any Shared Well Agreements,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
septic_easement_verification,sfh_septic,,Verify Septic System Easements if Applicable,property_specific,buyer_attorney,No,No,No,No,No,Yes,normal,,,,,,,
water_rights_documentation,sfh_septic,,Document Water Rights and Restrictions,property_specific,buyer_attorney,No,No,No,No,No,Yes,normal,,,,,,,
generator_septic_well_backup,sfh_septic,,Explain Backup Power for Well and Septic,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
local_service_providers,sfh_septic,,Provide Local Septic and Well Service Contacts,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
property_survey_review,sfh_city_water,,,property_specific,buyer_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
roof_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
basement_water_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
garage_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
yard_maintenance_transfer,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
pool_spa_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,Yes,Yes,normal,,,,,,,pool_inspector
fence_boundary_verification,sfh_city_water,,,property_specific,buyer_attorney,No,No,No,No,No,Yes,normal,,,,,,,
shed_outbuilding_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
driveway_walkway_condition,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
exterior_paint_siding_evaluation,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
attic_insulation_ventilation,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
chimney_fireplace_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,Yes,Yes,normal,,,,,,,chimney_inspector
tree_hazard_assessment,sfh_city_water,,,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
security_system_transfer,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
neighborhood_disclosure,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
utility_location_documentation,sfh_city_water,,,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
seasonal_equipment_transfer,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
warranty_transfer_package,sfh_city_water,,,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
radon_testing,sfh_city_water,,,property_specific,buyer,No,No,No,No,Yes,Yes,normal,,,,,,,radon_inspector
oil_tank_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,Yes,Yes,normal,,,,,,,oil_tank_inspector
pest_inspection,sfh_city_water,,,property_specific,buyer,No,No,No,No,Yes,Yes,normal,,,,,,,pest_inspector
generator_transfer,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
smart_home_transfer,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
historical_designation_disclosure,sfh_city_water,,,property_specific,seller,No,No,No,No,No,Yes,normal,,,,,,,
condo_docs_gathering,condo,,Gather Condominium Documents for Disclosure,hoa_condo,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
condo_questionnaire,condo,,Complete Lender's Condo Questionnaire,hoa_condo,vendor,Yes,No,Yes,No,Yes,Yes,normal,,,,,,HOA typically has 10-14 days to complete,hoa_management
condo_6d_request,condo,,Request Condo 6(d) Certificate from HOA,hoa_condo,seller_attorney,Yes,Yes,Yes,No,Yes,Yes,critical,,https://malegislature.gov/Laws/GeneralLaws/PartII/TitleI/Chapter183a/Section6,"M.G.L. Chapter 183A, Section 6(d)",,,HOA has 10 days to respond by law,hoa_management
condo_6d_resolve,condo,,Resolve Any Unpaid Condo Fees (if 'Dirty' 6(d)),hoa_condo,seller,No,No,No,No,No,Yes,normal,,,,,,,
condo_resale_package,condo,,Provide Condo Resale Package to Buyer,hoa_condo,seller_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
hoa_transfer_notification,condo,,Notify HOA of Pending Sale and Transfer,hoa_condo,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
hoa_financials_review,condo,,Review HOA Financial Statements and Reserves,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
hoa_meeting_minutes_review,condo,,Review Recent HOA Meeting Minutes,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
condo_master_insurance_review,condo,,Review HOA Master Insurance Policy,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
hoa_rental_restrictions_check,condo,,Verify HOA Rental and Occupancy Restrictions,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
parking_storage_verification,condo,,Confirm Parking and Storage Unit Assignments,hoa_condo,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
hoa_transfer_fee_disclosure,condo,,Disclose HOA Transfer Fees and Move-In Requirements,hoa_condo,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
pet_policy_disclosure,condo,,Confirm and Disclose HOA Pet Policies,hoa_condo,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
upcoming_assessments_disclosure,condo,,Disclose Any Known Upcoming Special Assessments,hoa_condo,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
building_violations_check,condo,,Check for Building Code Violations or Citations,compliance,buyer_attorney,Yes,No,No,No,No,Yes,critical,,,,,,,
fha_va_approval_status,condo,,Verify FHA/VA Approval Status if Applicable,financing,,No,No,No,No,No,Yes,normal,,,,,,,
balcony_deck_inspection,condo,,Inspect Private Balcony/Deck/Patio if Present,inspection,buyer,No,No,No,No,No,Yes,normal,,,,,,,
in_unit_laundry_verification,condo,,Verify In-Unit Laundry Hookups and Permissions,property_specific,,No,No,No,No,No,Yes,normal,,,,,,,
noise_assessment,condo,,Assess Noise Levels and Sound Transmission,property_specific,buyer,No,No,No,No,No,Yes,normal,,,,,,,
common_area_condition,condo,,Evaluate Common Area Maintenance and Condition,inspection,,Yes,No,No,No,No,Yes,normal,,,,,,,
hvac_responsibility_clarification,condo,,Clarify HVAC System Ownership and Maintenance,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
window_responsibility_check,condo,,Confirm Window and Door Maintenance Responsibility,hoa_condo,,Yes,No,No,No,No,Yes,normal,,,,,,,
mailbox_package_procedures,condo,,Understand Mail and Package Delivery Procedures,hoa_condo,seller,No,No,No,No,No,Yes,normal,,,,,,,
trash_recycling_procedures,condo,,Document Trash and Recycling Procedures,hoa_condo,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
guest_parking_info,condo,,Provide Guest Parking Information,hoa_condo,seller,No,No,No,No,No,Yes,normal,,,,,,,
building_amenities_access,condo,,Transfer Access to Building Amenities,hoa_condo,seller,No,No,No,No,No,Yes,normal,,,,,,,
emergency_contacts_list,condo,,Provide Building Emergency Contact Information,hoa_condo,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
renovation_rules_disclosure,condo,,Disclose HOA Renovation and Modification Rules,hoa_condo,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
rental_docs_gathering,multifamily,,Gather All Tenant Leases and Rental Documentation,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
tenant_notification_prep,multifamily,,Prepare Tenant Notifications (if required),property_specific,seller_attorney,No,No,No,No,No,Yes,normal,,,,,,,
tenant_estoppel_certificates,multifamily,,Obtain Tenant Estoppel Certificates,property_specific,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
rental_income_verification,multifamily,,Provide Rental Income Verification to Buyer's Lender,financing,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
tenant_notification_sale,multifamily,,Notify Tenants of Ownership Transfer,property_specific,seller,Yes,No,No,No,No,Yes,normal,,,,,,,
security_deposits_transfer,multifamily,,Prepare Security Deposit Transfer Documentation,property_specific,seller_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
property_ready_transfer,multifamily,,Ensure Property Ready for Ownership Transfer,pre_closing,seller,Yes,No,No,No,No,Yes,critical,,,,,,,
rent_roll_verification,multifamily,,Verify Current Rent Roll and Income,property_specific,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
operating_expense_analysis,multifamily,,Analyze Operating Expenses and P&L,property_specific,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
lease_audit_review,multifamily,,Audit All Existing Lease Agreements,property_specific,buyer_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
security_deposit_reconciliation,multifamily,,Reconcile Security Deposit Accounts,property_specific,buyer_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
last_month_rent_transfer,multifamily,,Account for Last Month's Rent Held,property_specific,buyer_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
utility_separation_verification,multifamily,,Verify Utility Metering and Billing,property_specific,vendor,Yes,No,No,No,No,Yes,normal,,,,,,,
common_area_maintenance_review,multifamily,,Inspect Common Areas and Systems,property_specific,vendor,Yes,No,No,No,No,Yes,normal,,,,,,,
rental_income_tax_returns,multifamily,,Review Seller's Schedule E Tax Returns,property_specific,agent,No,No,No,No,No,Yes,normal,,,,,,,
property_management_transition,multifamily,,Coordinate Property Management Transition,property_specific,buyer,Yes,No,No,No,No,Yes,normal,,,,,,,
tenant_notification_ownership,multifamily,,Notify Tenants of Ownership Change,property_specific,buyer,Yes,No,No,No,No,Yes,normal,,,,,,,
rent_proration_calculation,multifamily,,Calculate Rent Proration for Closing,property_specific,buyer_attorney,Yes,No,No,No,No,Yes,normal,,,,,,,
vendor_contract_review,multifamily,,Review and Transfer Service Contracts,property_specific,agent,Yes,No,No,No,No,Yes,normal,,,,,,,
insurance_coverage_multifamily,multifamily,,Obtain Multi-Family Property Insurance,property_specific,buyer,Yes,No,No,No,No,Yes,normal,,,,,,,
