task_id,title,mandatory,required_if,due_relative_to,due_offset,owner_role,dependencies,reminder_offsets,citations,notes
loan_commitment_track,Monitor Buyer Loan Commitment Status,true,all_transactions,PS,+21d,ListingAgent,,"+14d,+21d,+28d","Standard P&S practice","Check with buyer's agent. Typical commitment 3-4 weeks after P&S."
loan_commitment_deadline,Confirm Loan Commitment Received or Extension,true,all_transactions,PS,+35d,ListingAgent,loan_commitment_track,"-7d,-3d,-1d","Standard P&S practice","Mortgage contingency typically 30-45 days from P&S. Extension must be in writing."
appraisal_track,Monitor Property Appraisal Progress,true,all_transactions,PS,+7d,ListingAgent,,"+7d,+14d,+21d","Standard lending practice","Appraisal usually ordered within 1-2 weeks of P&S, completed 2-3 weeks after P&S."
appraisal_value_check,Verify Appraisal Supports Sales Price,true,all_transactions,PS,+21d,ListingAgent,appraisal_track,"+21d,+25d","Standard lending practice","Low appraisal may require renegotiation. Act quickly if issue arises."
home_inspection_schedule,Coordinate Home Inspection Access,true,all_transactions,PS,+7d,ListingAgent,,"+2d,+5d,+7d","Standard P&S practice","Inspection contingency typically 7-15 days from P&S."
home_inspection_response,Respond to Inspection Report Requests,true,all_transactions,PS,+12d,Seller+Agent,home_inspection_schedule,"+10d,+12d","Standard P&S practice","Negotiate repairs vs. credits vs. price reduction. Response usually due within days of report."
insurance_track,Confirm Buyer Obtained Homeowners Insurance,true,all_transactions,Closing,-21d,ListingAgent,,"-21d,-14d,-7d","Lender requirement","Policy or binder required at closing. Insurance issues can delay closing."
final_walkthrough_schedule,Schedule Final Walkthrough,true,all_transactions,Closing,-3d,ListingAgent,,"-5d,-3d","Standard closing practice","Typically 24-48 hours before closing. Ensure property clean and in agreed condition."
final_walkthrough_complete,Complete Final Walkthrough Successfully,true,all_transactions,Closing,-1d,Seller+Agent,final_walkthrough_schedule,"-1d","Standard closing practice","Address any last-minute issues immediately. Repairs must be complete."
clear_to_close_confirm,Confirm Lender Clear to Close,true,all_transactions,Closing,-5d,ListingAgent,,"-5d,-3d,-2d","Lender requirement","Final underwriting complete, all conditions satisfied. Closing Disclosure delivered to buyer."
utilities_transfer,Coordinate Utility Account Transfers,true,all_transactions,Closing,-7d,Seller,,"-14d,-7d","Standard closing practice","Electric, gas, internet, etc. Final readings as of closing date."
property_vacant_clean,Ensure Property Vacant and Broom Clean,true,all_transactions,Closing,-1d,Seller,,"-7d,-3d,-1d","Standard P&S requirement","All belongings removed (unless negotiated). Property clean for buyer."
keys_docs_ready,Prepare Keys, Manuals, and Access Codes,true,all_transactions,Closing,-1d,Seller,,"-3d,-1d","Standard closing practice","Garage remotes, alarm codes, appliance manuals, HOA info, etc."
attorney_docs_review,Review Closing Documents with Attorney,true,all_transactions,Closing,-7d,Seller,,"-14d,-7d,-3d","Legal requirement","Review HUD-1, deed, any liens to be discharged, payoff statements."
